Cohen's Kappa Calculation / 卡帕系数计算,,,,,,,,
"Scope: randomly selected validation sample from source rows 60–86 (27 of 91 studies, 29.7%). Major Category and Primary Subcategory only; final adjudicated codes are excluded from reliability estimation.",,,,,,,,
,,,,,,,,
"Verified sample results (source rows 60–86, N=27): Major Category κ = 1.0000 (27/27 agreements); Primary Subcategory κ = 0.8393 (24/27 exact label-set agreements).",,,,,,,,
Primary Subcategory is treated as one nominal category per canonicalized label set; partial overlap between two sets is recorded as disagreement.,,,,,,,,
,,,,,,,,
Dimension,Unit of analysis,N,Agreements,Disagreements,Observed agreement Po,Expected agreement Pe,Cohen's κ,Interpretation
Major Category,Single nominal category,27,27,0,1,0.8024691358024691,1,Almost perfect
Primary Subcategory,Exact canonicalized multi-label set,27,24,3,0.8888888888888888,0.30864197530864196,0.8392857142857142,Almost perfect
,,,,,,,,
,,,,,,,,
Major Category marginal distributions and expected agreement,,,,,,,Major disagreement profile,
,,,,,,,,
Category,Reviewer 1 Count,Reviewer 2 Count,Reviewer 1 Proportion,Reviewer 2 Proportion,Pe Contribution,,Measure,Value
VUL,3,3,0.1111111111111111,0.1111111111111111,0.012345679012345678,,VUL↔REL disagreements,0
REL,24,24,0.8888888888888888,0.8888888888888888,0.7901234567901234,,Other major disagreements,0
BOTH,0,0,0,0,0,,Total disagreements,0
—,0,0,0,0,0,,Final codes excluded from κ,Yes
Expected agreement Pe (Major Category),,,,,0.8024691358024691,,,
,,,,,,,,
Primary Subcategory exact-set marginal distributions and expected agreement,,,,,,,,
,,,,,,,,
Canonicalized label set,Reviewer 1 Count,Reviewer 2 Count,Reviewer 1 Proportion,Reviewer 2 Proportion,Pe Contribution,,,
A,0,0,0,0,0,,,
A; CODE,0,0,0,0,0,,,
C,0,1,0,0.037037037037037035,0,,,
C; A,0,0,0,0,0,,,
C; I,0,0,0,0,0,,,
C; I; A,0,0,0,0,0,,,
CODE,10,10,0.37037037037037035,0.37037037037037035,0.1371742112482853,,,
CODE; SEM,3,4,0.1111111111111111,0.14814814814814814,0.016460905349794237,,,
I,2,1,0.07407407407407407,0.037037037037037035,0.0027434842249657062,,,
I; A,1,1,0.037037037037037035,0.037037037037037035,0.0013717421124828531,,,
I; A; CODE,0,0,0,0,0,,,
SEM,11,10,0.4074074074074074,0.37037037037037035,0.15089163237311384,,,
—,0,0,0,0,0,,,
Expected agreement Pe (Primary Subcategory),,,,,0.30864197530864196,,,
,,,,,,,,
,,,,,,,,
Calculation definition and reporting record,,,,,,,,
,,,,,,,,
Item,,Formula,,Meaning,,,,
Observed agreement,,Po = A / N,,A is the number of exact agreements and N is the number of independently coded studies.,,,,
Expected agreement,,Pe = SUM(p1j * p2j),,"For every nominal category j, the two reviewers' marginal proportions are multiplied and then summed.",,,,
Cohen's kappa,,kappa = (Po - Pe) / (1 - Pe),,Chance-corrected agreement between the two independent reviewers.,,,,
Adjudication,,Not included in kappa,,Final codes are retained as the resolved coding record and are not used to inflate the reliability estimate.,,,,
,,,,,,,,
,,,,,,,,
"Reporting sentence: Two reviewers independently coded a randomly selected validation sample of 27 studies (source rows 60–86). Cohen's kappa was 1.000 for Major Category and 0.839 for Primary Subcategory, indicating almost perfect and almost perfect agreement, respectively, under the exact-set coding rule. All disagreements were resolved by full-text re-examination and consensus.",,,,,,,,
