缺陷证据表 / Defect-Level Evidence,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Study ID,Article Title,Defect Code,Major Category,Subcategory,Coverage,Evidence Statement / 证据,Evidence Location,Impact Category,Evidence Provenance,Notes,列1,列2,列3,列4,列5,列6
TBD,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS1-UTA,VUL,I,Partial,"The review states that ROS lacks a mechanism for regulating information distribution between nodes, allowing a network-visible node to transmit information on a topic. It also summarizes false-data injection, unauthorized node publishing, and unauthorized publisher/subscriber attacks.","Sec. 3.1.1, p. 13; Sec. 3.2.1, p. 18; Table 11, pp. 29–30",IMP-DT,EP-HIST,"Primary code. Explicitly discussed and supported by external studies, but not independently evaluated by this paper.",,,,,,
TBD,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS1-LE,VUL,C,Partial,"The paper explicitly states that ROS messages can be transmitted without encryption, enabling eavesdropping, and discusses TLS/DTLS and encryption-based secure channels as countermeasures.","Sec. 3.1.1, p. 13; Sec. 3.2.1, p. 18; Table 11, p. 29",IMP-DS,EP-HIST,"Plaintext communication is explicitly described, but the authors perform no packet capture or independent ROS experiment.",,,,,,
TBD,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS1-LNA,VUL,I,Partial,The review identifies poor authentication and unauthorized ROS nodes as common weaknesses and summarizes an authentication-server architecture intended to control which nodes may publish or subscribe.,"Sec. 3.2.1, p. 18; Table 11, p. 29",IMP-DT,EP-HIST,"Authentication weakness is explicit, but evidence is a secondary synthesis of earlier work.",,,,,,
TBD,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS1-LFQ,VUL,A,Partial,"The paper reviews ROS middleware DoS attacks caused by large numbers of unauthorized publishers or subscribers. It reports increased processing, storage consumption, network unresponsiveness, message delay, and packet loss.","Sec. 3.1.1, p. 13; Sec. 4 discussion, p. 27; Table 11, pp. 29–30",IMP-RE,EP-HIST,"The DoS mechanism is consistent with malicious high-rate publishing and connection occupation, but the experiments belong to cited studies rather than this review.",,,,,,
TBD,Cyber security of robots: A comprehensive survey,ROS1-UTA,VUL,I,Partial,"The survey reports that an attacker inside a ROS network can send shutdown commands, publish adulterated messages, manipulate velocity commands, inject false or malicious data, and access ROS services without sufficient authorization.","Sec. 3.3, p. 5; Sec. 5.3, p. 9; Sec. 6.5, p. 12; Sec. 8.2, p. 13",IMP-DT,EP-HIST,"Primary code. The weakness and attack consequences are explicitly synthesized from previous studies, but this paper does not independently execute or evaluate the attacks.",,,,,,
TBD,Cyber security of robots: A comprehensive survey,ROS1-LE,VUL,C,Partial,"The paper identifies unsecured ROS-to-ROS and node-to-node ports that communicate in plaintext. It also summarizes plain-text communications, unencrypted storage, and encryption-based countermeasures for protecting ROS node communication.","Sec. 3.3, p. 5; Sec. 4.3, pp. 7–8; Sec. 6.1, p. 10",IMP-DS,EP-HIST,"Directly matches absent channel protection in ROS 1, but the evidence is secondary and no packet-level experiment is performed by the survey authors.",,,,,,
TBD,Cyber security of robots: A comprehensive survey,ROS1-LNA,VUL,I,Partial,"The survey explicitly describes weak ROS authentication, unauthorized or rogue nodes, and the ability of malicious nodes to execute commands or alter robot behavior. It reviews authentication nodes, authorization servers, web tokens, and trusted-node mechanisms as countermeasures.","Sec. 4.3, pp. 7–8; Sec. 5.3, p. 9; Sec. 6.5, p. 12; Sec. 8.2, p. 13",IMP-DT,EP-HIST,"The paper distinguishes unauthorized nodes and weak authentication from authorization of topic/service operations, supporting a separate LNA code.",,,,,,
TBD,Cyber security of robots: A comprehensive survey,ROS1-PNE,VUL,C,Partial,The paper states that publicly exposed ROS instances allow malicious users to access sensors and read images or other sensor information. It also cites an Internet-wide scan reporting more than 100 ROS Master instances accessible from the public Internet.,"Sec. 4.2, p. 7; Sec. 5.3, p. 9",IMP-DS,EP-HIST,Explicit evidence of external network reachability and public ROS Master exposure. The Internet scan was conducted by a cited study rather than by the survey authors.,,,,,,
TBD,"Robotics Cyber Security: Vulnerabilities, Attacks, Countermeasures, and Recommendations",ROS1-LE,VUL,C,Partial,The paper reviews cryptographic protection for ROS communication channels and the integration of TLS and DTLS into the ROS core. This explicitly indicates that baseline ROS communication requires additional channel protection to preserve confidentiality.,"Sec. V-E, “Cryptographic Solutions & Protocols,” p. 21",IMP-DS,EP-HIST,Primary code. The evidence is a secondary synthesis of cited ROS security studies; the authors do not independently intercept ROS traffic or evaluate plaintext communication.,,,,,,
TBD,"Robotics Cyber Security: Vulnerabilities, Attacks, Countermeasures, and Recommendations",ROS1-UTA,VUL,I,Partial,"The reviewed ROS security solution introduces fine-grained control over permission to publish, subscribe, or consume data. The paper therefore explicitly recognizes the need to restrict ROS communication operations through authorization controls.","Sec. V-E, “Cryptographic Solutions & Protocols,” p. 21",IMP-DT,EP-HIST,"This is discussed through a cited countermeasure rather than an independently demonstrated unauthorized publication, subscription, or service call.",,,,,,
