row_id,title,ros_version,source_code_required,simulation_use,tools_flag,tools,all_defect_codes,defect_code,major_category,subcategory,codebook_ros_scope,english_name,concise_label
1,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS 1,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
1,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS 1,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
1,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS 1,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
1,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS 1,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
2,Cyber security of robots: A comprehensive survey,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
2,Cyber security of robots: A comprehensive survey,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
2,Cyber security of robots: A comprehensive survey,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
2,Cyber security of robots: A comprehensive survey,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
3,"Robotics Cyber Security: Vulnerabilities, Attacks, Countermeasures, and Recommendations",ROS 1,No,No,False,No,ROS1-LE; ROS1-UTA,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
3,"Robotics Cyber Security: Vulnerabilities, Attacks, Countermeasures, and Recommendations",ROS 1,No,No,False,No,ROS1-LE; ROS1-UTA,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
4,An Empirical Study of Vulnerabilities in Robotics,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
4,An Empirical Study of Vulnerabilities in Robotics,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
4,An Empirical Study of Vulnerabilities in Robotics,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
4,An Empirical Study of Vulnerabilities in Robotics,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
5,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
5,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
5,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
5,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
5,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,No,No,False,No,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
6,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,No,No,False,No,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS2-ILE,VUL,C,ROS 2,Incomplete or Leaky Encryption,Leaky Encryption
6,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,No,No,False,No,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
6,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,No,No,False,No,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
6,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,No,No,False,No,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
6,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,No,No,False,No,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS2-MPIB,VUL,I,ROS 2,Missing Publisher Identity Binding,No Publisher Binding
7,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS 2,No,No,False,No,ROS2-ILE; ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,ROS2-ILE,VUL,C,ROS 2,Incomplete or Leaky Encryption,Leaky Encryption
7,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS 2,No,No,False,No,ROS2-ILE; ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,ROS2-ICAPP,VUL,I,ROS 2,Inadequate Credential and Policy Protection,Weak Credential Protection
7,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS 2,No,No,False,No,ROS2-ILE; ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,ROS2-LRI,VUL,A,ROS 2,Lack of Resource Isolation,No Resource Isolation
7,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS 2,No,No,False,No,ROS2-ILE; ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,ROS2-CSCE,VUL,C,ROS 2,Cryptographic Supply Chain Exposure,Crypto Supply Chain
8,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,Both,No,No,False,No,ICF; BSE; SEF,ICF,REL,SEM,ROS 1 / ROS 2,Interaction and Communication Faults,Interaction/Communication
8,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,Both,No,No,False,No,ICF; BSE; SEF,BSE,REL,SEM,ROS 1 / ROS 2,Behavioral and Semantic Errors,Behavioral/Semantic
8,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,Both,No,No,False,No,ICF; BSE; SEF,SEF,REL,CODE,ROS 1 / ROS 2,Scheduling and Execution Faults,Scheduling/Execution
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
9,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
