ROS Defect Codebook,,,,,,,,,
"The fixed hierarchy is Major Category → Subcategory → Defect Code. Reliability faults are coded by the primary root-cause locus, not by symptoms or impacts.",,,,,,,,,
,,,,,,,,,
Subcategories,,,,,,,,,
Code,Applies To,Name,Operational Meaning,Key Boundary,,,,,
C,VUL,Confidentiality,"Unauthorized observation of data, metadata, or communication structure.",Use only for security weaknesses; benign data-format errors are not C.,,,,,
I,VUL,Integrity,"Unauthorized forgery, modification, injection, replay, or reconfiguration.",Benign configuration errors must be coded as REL.,,,,,
A,VUL,Availability,"Service disruption, overload, or resource exhaustion caused by an attack or missing security control.",Benign scheduling or execution errors should be coded as SEF.,,,,,
CODE,REL,Code-Level,"The root cause lies in build/dependency artifacts, implementation code, or ROS runtime execution mechanisms.","Includes BDF, SEF, and GPE.",,,,,
SEM,REL,Semantic-Logic,"The root cause lies in relationships among ROS entities or in robot, physical, or behavioral semantics.",Includes ICF and BSE.,,,,,
Defect Codes,,,,,,,,,
Code,Major Category,ROS Version,Subcategory,English Name,Concise Label,Operational Definition,Include When,Exclude When,Typical Evidence
ROS1-LE,VUL,ROS 1,C,Lack of Encryption,No Encryption,"ROS 1 topic, service, TCPROS, UDPROS, or XMLRPC traffic is transmitted in plaintext.","The study directly analyzes plaintext communication, eavesdropping, or absent channel protection.","Do not use for benign data-format, message-semantic, or parsing errors.","Packet captures, plaintext topics, or intercepted sensor/control data."
ROS1-PNE,VUL,ROS 1,C,Public Network Exposure,Public Exposure,The ROS Master or node endpoints can be discovered or reached from outside the intended local network because access restrictions are absent or inadequate.,"The study provides evidence of exposed ports, Internet scanning, remote reachability, or open interfaces.",Do not code when communication is confined to the intended local network and external exposure is not demonstrated.,"Open ROS ports, an exposed Master, or Internet-scan results."
ROS1-LNA,VUL,ROS 1,I,Lack of Node Authentication,No Node Authentication,"Nodes are not authenticated when registering, publishing, subscribing, or providing services.","The study demonstrates malicious node registration, service hijacking, node impersonation, or authentication bypass.","Benign node-name, topic-name, or namespace mistakes belong to ICF.","Service re-registration, node impersonation, or absence of certificate/challenge validation."
ROS1-UTA,VUL,ROS 1,I,Unrestricted Topic and Service Access,Unrestricted Access,"Network-visible nodes can publish, subscribe, or invoke sensitive topics and services without authorization.","The study demonstrates unauthorized publishing, subscribing, service invocation, message injection, or replay.",Accidental topic wiring or type mismatches belong to ICF.,"Forged /cmd_vel messages, unauthorized service calls, or topic injection."
ROS1-IPS,VUL,ROS 1,I,Insecure Parameter Server,Insecure Parameters,"The ROS 1 Parameter Server lacks adequate authentication or authorization, enabling unauthorized parameter reads or writes.","An attacker directly reads, overwrites, or manipulates runtime parameters.","Benign incorrect parameter values or parameter paths should be considered BSE or ICF, respectively.","Unauthorized modification of thresholds, control gains, or configuration parameters."
ROS1-SPF,VUL,ROS 1,A,Master as a Single Point of Failure,Master Single Point,"Failure or attack of the centralized ROS Master can disrupt name resolution, discovery, or system coordination.",The study explicitly exploits or evaluates the centralized weakness of the ROS Master.,"Ordinary node startup failures, build failures, or a crash of one non-Master node do not belong here.","Master crashes, SlowROS, or graph-resolution failure."
ROS1-LFQ,VUL,ROS 1,A,Lack of Flow Control and QoS,No Flow/QoS Control,"ROS 1 lacks adequate rate limiting, priority, queue control, or QoS guarantees, and this deficiency is exploited by malicious traffic.","An attacker causes overload or denial of service through high-rate publishing, connection occupation, or selective message suppression.","Benign callback blocking, queue configuration, or executor problems belong to SEF.","Topic flooding, subscriber overload, or message loss."
ROS2-ILE,VUL,ROS 2,C,Incomplete or Leaky Encryption,Leaky Encryption,"DDS-Security or SROS2 does not fully encrypt traffic, or handshake, policy, or metadata remains exposed.","The study directly analyzes partial encryption, signing without encryption, or metadata leakage.",Ordinary message-format or semantic errors do not belong here.,"Observed handshake metadata, permission information, or unencrypted payloads."
