ROS SLR 精简编码表 / Concise Study Coding,,,,,,,,,,,,,,,,,,,,,,
一篇文章一行。主缺陷代码只填一个；其他缺陷代码可用分号列出，但每个 Full/Partial 缺陷必须在 02_Defect_Evidence 中单独建立证据行。缺陷覆盖度与研究质量不得混用。,,,,,,,,,,,,,,,,,,,,,,
Study ID,Article Title / 文章标题,ROS Version,Major Category,2-Major Category,final-Major Category,Primary Defect Code,Primary Subcategory,2-Primary Subcategory,final-Primary Subcategory,Other Defect Code(s),ALL Defect Code,Primary Impact,Source Code Required,Simulation Use,QA1 ROS Relevance,QA2 Defect Clarity,QA3 Study/Method Clarity,QA4 Evaluation Strength,QA5 Reproducibility,QA Total (0-5),Adjudication / Notes,Tools
TBD,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework",ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C; A,I; C; A,I; C; A,ROS1-LE; ROS1-LNA; ROS1-LFQ,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-LFQ,IMP-DT,No,No,Partial,Partial,Partial,No,No,1.5,"Broad robotic-system cybersecurity review rather than a ROS-specific study. ROS 1 access control, encryption, authentication, and DoS weaknesses are explicitly synthesized from prior studies. ROS 2 is mentioned mainly as a limitation of an earlier secure-communication approach and through general DDS discussion; no ROS 2-specific defect is directly analyzed. The proposed framework is conceptual and not implemented or experimentally evaluated.",No
TBD,Cyber security of robots: A comprehensive survey,Both,VUL,VUL,VUL,ROS1-UTA,I; C,I; C,I; C,ROS1-LE; ROS1-LNA; ROS1-PNE,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE,IMP-DT,No,No,Partial,Partial,Partial,Partial,Partial,2.5,"Broad survey of robot cybersecurity rather than a ROS-only study. ROS 1 and ROS 2 are both explicitly reviewed, but the codebook-matched defects concern mainly ROS 1 plaintext communication, unrestricted publishing/access, missing node authentication, and publicly exposed ROS instances. ROS 2 is principally discussed through DDS-Security, security APIs, mitigation mechanisms, and performance overhead; no sufficiently specific ROS 2 defect category is established. The paper reports seven databases, search period, inclusion/exclusion criteria, PRISMA counts, dual screening, and third-author adjudication, but omits exact database-specific queries, the complete extraction form, formal quality-assessment criteria, and a replication package.",No
TBD,"Robotics Cyber Security: Vulnerabilities, Attacks, Countermeasures, and Recommendations",ROS 1,VUL,VUL,VUL,ROS1-LE,I,C,C; I,ROS1-UTA,ROS1-LE; ROS1-UTA,IMP-DS,No,No,Partial,Partial,No,No,No,1,"Broad narrative review of robotic cybersecurity rather than a ROS-specific or systematic review. ROS-specific discussion summarizes cryptographic protection for ROS communication and permission control over publishing, subscribing, and data consumption. No original ROS experiment, implementation, dataset, search protocol, quality assessment, or replication package is provided.",No
TBD,An Empirical Study of Vulnerabilities in Robotics,Both,VUL,VUL,VUL,—,—,—,—,—,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-LFQ,—,No,No,No,Full,Full,Full,Full,4,"Empirical analysis of 176 CVE-confirmed robotics vulnerabilities from RVD. ROS is mentioned only as an example within the “Operating System Software” component type, which accounts for 4.8% of software-related vulnerabilities. The paper does not identify which records are ROS-related, distinguish ROS 1 from ROS 2, or cross-tabulate ROS records with the nine vulnerability categories. Therefore, no codebook leaf can be assigned without unsupported inference.",No
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,Both,VUL,VUL,VUL,ROS1-UTA,I; C; A,I; C; A,I; C; A,ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,ROS1-UTA; ROS1-LE; ROS1-LNA; ROS1-PNE; ROS1-LFQ,IMP-DT,No,No,Full,Partial,Partial,Partial,No,2.5,"ROS security is the direct research object. The review compares ROS 1 and ROS 2 and synthesizes 32 studies, but provides no reproducible database-search procedure, selection criteria, extraction protocol, formal quality assessment, or replication package. ROS 1 access control, plaintext communication, anonymous node interaction, public exposure, and high-frequency publishing attacks are explicitly discussed. ROS 2 vulnerabilities are described only at a broad attack-category level and cannot be mapped reliably to the codebook’s mechanism-specific ROS 2 leaf codes.",No
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,Both,VUL,VUL,VUL,ROS2-ILE,C; I,C; I,C; I,ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,ROS2-ILE; ROS1-LE; ROS1-LNA; ROS1-UTA; ROS2-MPIB,IMP-DS,No,No,Full,Full,Full,Partial,Partial,4,"The paper directly evaluates network-security properties of ROS 1, ROS 2, and ten protection mechanisms. It defines MITM and compromised-node attackers and evaluates confidentiality, metadata confidentiality, integrity/authenticity, access control, compatibility, and key exchange. No original protection tool or complete runtime attack experiment is presented. ROS2-ILE is primary because the plaintext transmission of SROS 2/DDS-Security policies and ROS metadata is the most specific mechanism-level deficiency established by the study.",No
TBD,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS 2,VUL,VUL,VUL,ROS2-ILE,C; I; A,C; I; A,C; I; A,ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,ROS2-ILE; ROS2-ICAPP; ROS2-LRI; ROS2-CSCE,IMP-DS,No,No,Full,Full,Full,Partial,Partial,4,"The paper performs an architectural vulnerability analysis of ROS 2 and DDS-Security and experimentally evaluates security–performance trade-offs. The ROS translation layer is excluded from the benchmark; experiments measure RTI DDS messaging on one and two physical computers rather than a simulated robot. ROS2-ILE is primary because the paper directly demonstrates that security protection is independently configurable for discovery, liveliness, RTPS metadata, and payload, leaving selected information signed-only or completely unprotected. Credential/policy management, process isolation, and trusted security-component supply chains are identified as additional risks but are not experimentally exploited.",No
TBD,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,Both,REL,REL,REL,ICF,SEM; CODE,SEM; CODE,SEM; CODE,BSE; SEF,ICF; BSE; SEF,IMP-FA,No,No,Full,Full,Full,Partial,Full,4.5,"ROS misconfigurations are the direct research object. The study analyzes 228 real ROS Answers questions, derives 12 high-level and 50 fine-grained categories, and maps them to 18 existing techniques. ICF is primary because the dominant fault families concern names, message contracts, missing endpoints, remapping, namespaces, launch wiring, parameters, and component composition. BSE covers incorrect physical or behavioral meanings, while SEF covers queues, frequency, stale data, synchronization, and launch race conditions. Only 37 of 228 questions identify a ROS version, making version-specific classification infeasible; therefore, Unclear is more defensible than Both. The dataset is publicly released, but the tool-review evaluation is limited to selected venues and 2018–2022, and only 10 of 18 technique mappings received external author validation.",No
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C; A,I; C; A,I; C; A,ROS1-LE; ROS1-LNA; ROS1-LFQ; ROS1-SPF,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,IMP-DT,No,No,Full,Full,Partial,No,No,2.5,"The paper directly analyzes ROS 1 security weaknesses and uses the STOP multi-robot surveillance architecture as a case study. The primary weakness is unrestricted access to topics, nodes, and robot commands. Plaintext communication, missing node authentication, absent QoS/flow control, and the centralized ROS Master bottleneck are also explicitly discussed. The proposed hierarchical protections are largely design recommendations and ongoing implementation plans; the paper does not experimentally attack the STOP system or evaluate the proposed mechanisms quantitatively.",No
TBD,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,VUL,VUL,VUL,ROS1-LNA,C,I,I; C,ROS1-UTA; ROS1-LE; ROS1-LFQ; ROS1-SPF;ROS1-PNE,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,IMP-DT,No,Yes,Full,Full,Partial,Partial,Partial,3.5,"The study experimentally analyzes ROS Indigo. An attacker joins the target ROS graph by configuring ROS_MASTER_URI, remotely controls TurtleSim, records and replays KOBUKI control messages, observes unencrypted communication, and replaces an existing service through duplicate-name registration. The attacks do not require application source code, although ROS Master source code is inspected to explain the service-hijacking mechanism.",No
TBD,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C,I; C,I; C,ROS1-LNA; ROS1-LE,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,IMP-DT,No,Yes,Full,Full,Full,Full,Partial,4.5,"The attack targets ROS 1 Kinetic and uses a malicious external ROS node to subscribe to sensitive state topics, infer critical surgical stages with DBSCAN, terminate or replace a legitimate publisher through a duplicate node name, and inject corrupted sensor/control data. The evaluation covers three simulated surgical scenarios, quantitative trigger accuracy, three fault payloads, and a safety module. Target application source code is not required, but the attacker needs network access, ROS APIs, relevant topic names, message structures, and some application knowledge.",No
TBD,ROSploit: Cybersecurity Tool for ROS,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C,I; C,I; C,ROS1-LNA; ROS1-LE,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,IMP-DT,No,No,Full,Full,Partial,Partial,No,3,"The paper presents a modular offensive tool with reconnaissance and exploitation components. ROSploit scans the ROS Master and arbitrary ports, enumerates nodes, topics, and services, and supports topic-level MITM attacks that can modify communications. The target application source code is not required. Evaluation is limited to a qualitative comparison between ROSploit scan results and the native ROS graph; no quantitative exploit evaluation, test repetitions, complete experimental configuration, or public replication package is reported.",No
TBD,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,VUL,VUL,VUL,ROS1-PNE,C; I,C; I,C; I,ROS1-UTA; ROS1-LNA; ROS1-IPS,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,IMP-DT,No,No,Full,Full,Full,Full,Partial,4.5,"The study performs three Internet-wide scans for ROS Masters on TCP port 11311 and one scan for Rosbridge on port 9090. Each Master scan identified more than 100 publicly accessible ROS instances across 28 countries. With owner consent, the authors accessed camera and point-cloud data, published actuator commands, moved a robot neck, and modified ROS parameters. Application source code was not required for scanning or standard topic access, although a custom .srv definition was needed to call one robot-specific service. Publicly visible simulators were measured, but the authors’ proof-of-concept evaluation used physical robots rather than a simulation testbed.",No
TBD,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS 1,VUL,VUL,VUL,ROS1-LE,C; I,C; I,C; I,ROS1-LNA; ROS1-UTA,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,IMP-DT,No,No,Full,Full,Full,Partial,Partial,4,"The study implements and evaluates a network MITM tool against the physical DoRIS domestic robot. Through ARP poisoning, IP forwarding, Netfilter Queue and Scapy, the attacker intercepts, reads, modifies or drops ROS topic packets exchanged between the robot and an external processing server. ROS1-LE is primary because the demonstrated attack fundamentally relies on ROS 1 transmitting data without encryption or cryptographic integrity protection. The paper also explicitly identifies missing node authentication and topic authorization, but those mechanisms are not independently exploited through ROS Master registration in the reported experiment.",No
TBD,Security Controller Synthesis for ROS-based Robot,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; A,I; A,I; A,ROS1-LNA; ROS1-LFQ,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,IMP-DT,No,Yes,Full,Full,Full,Partial,Partial,4,"The paper synthesizes task and security controllers from TLSF/LTL specifications using a GR(1)-based algorithm. It addresses false-command injection enabled by unrestricted ROS topic publishing and DoS attacks characterized by abnormal message volume and resource consumption. The Gazebo evaluation demonstrates controller responses and task continuation using standby robots, but does not report a concrete ROS attack implementation, traffic-generation parameters, detection accuracy, false-positive rate, repeated trials, or physical-robot evaluation.",No
